S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude
1,MVNNDG72,ANKIT,3,01-Birjapur,Ambedkar park,Dhalao Ghar,27.457955,77.679176
2,MVNNDG71,ANKIT,3,01-Birjapur,birzapur shauchalay ke pass,Dhalao Ghar,27.456451,77.680627
3,MVNNDG47,SUDESH - UNDERGROUND DUSTBIN,1,02-Ambedkar Nagar,LAXMI NAGAR,Dhalao Ghar,27.506353,77.698788
4,MVNNDG26,SUDESH,1,02-Ambedkar Nagar,get well hostpital,Dhalao Ghar,27.511248,77.709674
5,MVNNDG24,HARIOM,1,05-Bharatpur Gate,NEAR MACHHALI MANDI,Dhalao Ghar,27.500945,77.676278
6,MVNNDG23,HARIOM,1,05-Bharatpur Gate,MAYOR WALI GALI,Dhalao Ghar,27.499353,77.678257
7,MVNNDG82,DILIP SINGH ,3,06-Aduki,Navada school ke pass,Dhalao Ghar,27.445498,77.688422
8,MVNNDG27,SUBHASH,1,07-Lohvan,lahuvan pokhar,Dhalao Ghar,27.513421,77.721505
9,MVNNDG13,PRIYANSHU,4,09-Gandhi Nagar,Telipada,Dhalao Ghar,27.577881,77.69456
10,MVNNDG74,DILIP SINGH ,3,10-Aurangabad First,SHAUCHALAY KE PASS,Dhalao Ghar,27.445872,77.706472
11,MVNNDG73,DILIP SINGH ,3,10-Aurangabad First,BAIRAJ MOD,Dhalao Ghar,27.435404,77.701617
12,MVNNDG55,ANIL RANA ,2,12-Radhe Shyam Colony,dalab Ghar pr hospital ke paas,Dhalao Ghar,27.526505,77.66383
13,MVNNDG4,SATISH,4,13-Sunrakh,nri green,Dhalao Ghar,27.574994,77.672917
14,MVNNDG64,SACHIN,2,16-Bakalpur,shriji baba school,Dhalao Ghar,27.498807,77.637736
15,MVNNDG62,VIKASH,2,20-Krishna Nagar First, Opposite Mayank Gas Agency,Dhalao Ghar,27.501018,77.661684
16,MVNNDG9,SATENDRA,4,21-Chaitanya Bihar,KAMAL MANDIR KE PASS ,Dhalao Ghar,27.563681,77.638404
17,MVNNDG25,CHARAN SINGH ,1,22-Badhri Nagar,"badri nagar, near kabristan",Dhalao Ghar,27.500674,77.673428
19,MVNNDG31,MOHIT SAINI,1,23-Aheer Pada,janakapuri Kalika Mandir badhpura ke samne,Dhalao Ghar,27.461455,77.674227
20,MVNNDG54,ANIL RANA,2,24-Sarai Azamabad,BARF FACTORY KE PASS ,Dhalao Ghar,27.523914,77.66457
22,MVNNDG22,JITENDRA,1,26-Naya Nagla,BAHADURPUR,Dhalao Ghar,27.494543,77.685012
23,MVNNDG21,JITENDRA,1,26-Naya Nagla,NEAR NAYA NAGLA,Dhalao Ghar,27.488872,77.68344
24,MVNNDG15,ANIL BAGHEL ,3,29-Koyla Alipur,kashiram colony mod,Dhalao Ghar,27.421098,77.69579
25,MVNNDG61,VIKASH,2,30-Krishna Nagar Second,Near Income Tax Department,Dhalao Ghar,27.495787,77.65452
26,MVNNDG81,ANIL BAGHEL ,3,32-Ranchibagar,Kadam Vihar Colony Road,Dhalao Ghar,77.700171,27.427794
27,MVNNDG80,ANIL BAGHEL,3,32-Ranchibagar,SABJI MANDI ON ROAD ,Dhalao Ghar,27.424784,77.69704
28,MVNNDG79,SONVEER,3,33-Palikhera,Chandra Green Heights,Dhalao Ghar,27.477459,77.657591
29,MVNNDG12,MANOJ,4,34-Radhaniwas,Char sampradaay,Dhalao Ghar,27.577374,77.703101
30,MVNNDG29,GAURAV,1,35-Bankhandi,Mathura jila sahakari bank ,Dhalao Ghar,27.486326,77.681983
31,MVNNDG28,GAURAV,1,35-Bankhandi,Kishor raman inter college,Dhalao Ghar,27.49826,77.679556
32,MVNNDG49,ARJUN,2,36-Jaisingh Pura,JAISINGH PURA KHADAR,Dhalao Ghar,27.522604,77.675687
33,MVNNDG67,VEERESH-(Underground  Dustbin),2,37-Baldevpuri,MAHOLI ROAD,Dhalao Ghar,27.481012,77.658234
34,MVNNDG86,AMAN- (UNDERGROUND DUSTBIN),3,38-Civil Lines,CIVIL LINES ,Dhalao Ghar,27.47576,77.694124
35,MVNNDG85,AMAN-(UNDER GROUND),3,38-Civil Lines,NEAR NAGAR AYUKT HOME ,Dhalao Ghar,27.462215,77.697723
36,MVNNDG84,AMAN,3,38-Civil Lines,Janakpuri officer colony baccha Jail ke samne,Dhalao Ghar,27.461455,77.674227
37,MVNNDG83,AMAN,3,38-Civil Lines,chanakapuri officer colony,Dhalao Ghar,27.461455,77.674227
38,MVNNDG76,AMAN,3,38-Civil Lines,"DAMODARPURA, SHANI DEV MANDIR",Dhalao Ghar,27.456258,77.703953
39,MVNNDG75,AMAN,3,38-Civil Lines,"DAMODARPURA,DAMODARPURA GATE KE SAMNE ",Dhalao Ghar,27.453026,77.705959
40,MVNNDG39,CHARAN SINGH ,1,40-Rajkumar,"SABJI MANDI,ANGOORI VATIKA MASANI ROAD",Dhalao Ghar,27.506428,77.672245
42,MVNNDG70,AMAN,3,41-Dhaulipiau,muskan hotel ke samne,Dhalao Ghar,27.479818,77.677701
43,MVNNDG69,AMAN,3,41-Dhaulipiau,Vijay baar ke samne,Dhalao Ghar,27.489002,77.677515
44,MVNNDG40,ADIL MALIK,1,42-Manoharpur,MEWATI MOHALLA,Dhalao Ghar,27.5040235,77.6748159
45,MVNNDG52,SACHIN,2,43-Ganeshra,ganesra road sochale,Dhalao Ghar,27.509248,77.647102
46,MVNNDG50,SACHIN,2,43-Ganeshra,CRPF Camp,Dhalao Ghar,27.509052,77.641666
47,MVNNDG66,GAURAV,2,44-Radhika Bihar,"TVS POINT ,HALDIRAM KE SAMNE ",Dhalao Ghar,27.493168,77.65721
48,MVNNDG53,HARIKESH,2,45-Birla Mandir,HOSPITAL BC GOYAL KE PEECHE ,Dhalao Ghar,27.527266,77.677284
49,MVNNDG58,SURENDRA,2,46-Radha Nagar,KRISHNA NAGAR ,Dhalao Ghar,27.503578,77.657387
50,MVNNDG60,ANSHU,2,47-Dwarkapuri,BSA  puliya,Dhalao Ghar,27.496668,77.682024
52,MVNNDG43,ANSHU,1,49-Daimpiriyal Nagar,KR DEGREE COLLEGE,Dhalao Ghar,27.496142,77.675302
53,MVNNDG42,ANSHU,1,49-Daimpiriyal Nagar,NEAR RAIL LINE KAILASH NAGAR KR DEGREE COLLEGE KE PICHHE,Dhalao Ghar,27.497616,77.673656
54,MVNNDG41,ANSHU,1,49-Daimpiriyal Nagar,"AKHADA PIPAL WALA ,BRIJ NAGAR",Dhalao Ghar,27.494706,77.675738
55,MVNNDG14,MANOJ,4,51-Gaushala Nagar,NEAR SURYA NAMASKAR,Dhalao Ghar,27.561242,77.682983
56,MVNNDG2,MANOJ,4,51-Gaushala Nagar,SANIDEV MANDIR,Dhalao Ghar,27.563997,77.68437
57,MVNNDG1,MANOJ,4,51-Gaushala Nagar,KAILASH NAGAR ,Dhalao Ghar,27.564192,77.689472
58,MVNNDG87,DEEPAK -(UNDERGROUND DUSTBIN),3,52-Chandrapuri,INDUSTRIAL AREA,Dhalao Ghar,27.471803,77.664784
59,MVNNDG20,DEEPAK,3,52-Chandrapuri,Yamuna wala road XUV plant ke pass,Dhalao Ghar,27.461455,77.674227
60,MVNNDG18,DEEPAK,3,52-Chandrapuri,chandrapuri colony Chaudhary Charan Singh gate gali number 1 Mall ke paas,Dhalao Ghar,27.46006,77.671026
61,MVNNDG16,DEEPAK,3,52-Chandrapuri,chandrabangla industrial area Hanuman Mandir,Dhalao Ghar,27.473648,77.665531
62,MVNNDG37,MAHAVEER,1,53-Krishna Puri,Railway Kevin,Dhalao Ghar,27.49407,77.686495
63,MVNNDG57,SURENDRA,2,55-Govind Nagar,GOIND NAGAR,Dhalao Ghar,27.506409,77.662988
64,MVNNDG63,naresh,2,56-Mandi Randas,DWARIKADHEESH MANDIR ,Dhalao Ghar,27.506118,77.68409251
65,MVNNDG19,DEEPAK,3,57-Balajipuram,balajipuram Priyanshu janseva Kendra ke pass,Dhalao Ghar,27.451781,77.688808
66,MVNNDG59,SANJIV,2,58-Gau Ghat,near jay shree colony gaughat,Dhalao Ghar,27.511527,77.675048
67,MVNNDG78,ANKIT,3,59-Maholi Second,Jai Gurudev Mandir Ke pass,Dhalao Ghar,27.481146,77.656433
68,MVNNDG68,SONVEER,3,59-Maholi Second,Pushpanjali  Road Mathura Lajpat Nagar,Dhalao Ghar,27.480218,77.656521
69,MVNNDG90,Aryan,2,60-Jagannath Puri,Aman Nath School,Dhalao Ghar,27.499584,77.66987
70,MVNNDG56,ARYAN ,2,60-Jagannath Puri,POTRA KUND,Dhalao Ghar,27.50451,77.666534
71,MVNNDG30,MOHIT SAINI,1,63-Maliyaan Sadar,Bengali colony Mahadev Ghat ke pas ,Dhalao Ghar,27.461455,77.674227
72,MVNNDG7,VISHNU,4,66-Keshighat,KESI GHAT KALI MANDIR,Dhalao Ghar,27.586943,77.703918
73,MVNNDG8,HEMANT,4,67-Kemar Van,KABADI VALI WALI,Dhalao Ghar,27.570569,77.684786
74,MVNNDG6,HEMANT,4,67-Kemar Van,ramswaroop pandal,Dhalao Ghar,27.574971,77.682756
75,MVNNDG3,HEMANT,4,67-Kemar Van,sukhda bhakti,Dhalao Ghar,27.571316,77.685132
76,MVNNDG36,VEERESH,1,68-Shanti Nagar,"Near Bajrang Chauraha, Maholi Road",Dhalao Ghar,27.485381,77.666568
77,MVNNDG34,VEERESH,1,68-Shanti Nagar,"Opposite Bajrang Dharamkanta, Maholi Road",Dhalao Ghar,27.480816,77.65819
78,MVNNDG10,HEMANT,4,69-Ratan Chhatri,PILI KOTHI,Dhalao Ghar,27.576148,77.685274
79,MVNNDG5,HEMANT,4,69-Ratan Chhatri,RATANCHATRI,Dhalao Ghar,27.576497,77.685342
80,MVNNDG11,MOHIT VRINDAVAN,4,70-Biharipur,JUGAL GHAT,Dhalao Ghar,27.558692,77.688077
