"S.No","Zone & Circle","Ward Name","Vehicle Number","Vehicle Type","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time","Route Time"
1,"Z2-C1","56-Mandi Randas","M262 UP85ET 7851","Primary - Auto Tipper","W56R5_C",104,104,0,100,"27-04-2026","07:13 AM","09:08 AM","1:55"
2,"Z2-C1","56-Mandi Randas","M268 UP85ET 7848","Primary - Auto Tipper","W56R4_C",48,48,0,100,"27-04-2026","07:21 AM","09:01 AM","1:39"
3,"Z2-C1","55-Govind Nagar","MUP85AG0798","Primary - Auto Tipper","W55R2",936,932,4,99,"27-04-2026","06:11 AM","10:10 AM","3:59"
4,"Z2-C1","30-Krishna Nagar Second","M127   UP85AG0762","Primary - Auto Tipper","W30ER1",584,581,3,99,"27-04-2026","06:22 AM","10:30 AM","4:07"
5,"Z1-C1","53-Krishna Puri","MR048-70145701","Primary - Manual Rickshaw","W53MR1",292,290,2,99,"27-04-2026","06:22 AM","10:20 AM","3:58"
6,"Z4-C1","51-Gaushala Nagar","M007 UP14PT7719_C","Primary - Auto Tipper","W51R4_N",927,919,8,99,"27-04-2026","06:04 AM","10:20 AM","4:15"
7,"Z1-C1","65-Holi Gali","M232 UP85ET 7839_C","Primary - Auto Tipper","W65R5_C",393,389,4,98,"27-04-2026","07:19 AM","09:55 AM","2:36"
8,"Z1-C1","02-Ambedkar Nagar","MR029-70145446","Primary - Manual Rickshaw","W2T2",258,255,3,98,"27-04-2026","07:34 AM","09:17 AM","1:43"
9,"Z4-C1","70-Biharipur","MR014-70147624","Primary - Manual Rickshaw","W70MR1",250,247,3,98,"27-04-2026","07:14 AM","09:55 AM","2:40"
10,"Z2-C1","55-Govind Nagar","M017 UP14PT7724","Primary - Auto Tipper","W55R3",878,866,12,98,"27-04-2026","06:09 AM","10:30 AM","4:21"
11,"Z2-C1","12-Radhe Shyam Colony","MR013-70147533","Primary - Manual Rickshaw","W12MR1",219,216,3,98,"27-04-2026","06:28 AM","09:47 AM","3:19"
12,"Z1-C1","40-Rajkumar","UP16RT3822","Primary - AUTO TIPPER EV","W40R2",198,195,3,98,"27-04-2026","06:35 AM","09:38 AM","3:02"
13,"Z4-C1","21-Chaitanya Bihar","M105   UP85AG0800","Primary - Auto Tipper","W21R3",263,259,4,98,"27-04-2026","06:19 AM","10:19 AM","4:00"
14,"Z2-C1","56-Mandi Randas","MR004-70147590","Primary - Wheel Barrow","W56WBR2",131,129,2,98,"27-04-2026","08:16 AM","09:32 AM","1:16"
15,"Z2-C1","47-Dwarkapuri","M236 UP85ET 7830","Primary - Auto Tipper","W47R1",945,930,15,98,"27-04-2026","06:15 AM","10:28 AM","4:13"
16,"Z3-C1","59-Maholi Second","UP85AG0777","Primary - Auto Tipper","W59R1",898,880,18,97,"27-04-2026","06:28 AM","10:26 AM","3:58"
17,"Z1-C1","53-Krishna Puri","M055 UP85AG0891_C","Primary - Auto Tipper","W53R1",921,902,19,97,"27-04-2026","06:35 AM","08:43 AM","2:07"
18,"Z2-C1","30-Krishna Nagar Second","M127   UP85AG0762","Primary - Auto Tipper","W30R2",776,759,17,97,"27-04-2026","06:28 AM","09:17 AM","2:49"
19,"Z1-C1","23-Aheer Pada","M072   UP85AG0803","Primary - Auto Tipper","W23R1",926,904,22,97,"27-04-2026","07:03 AM","10:18 AM","3:15"
20,"Z4-C1","51-Gaushala Nagar","M244 UP85AG0789_C","Primary - Auto Tipper","W51R3",954,929,25,97,"27-04-2026","06:53 AM","10:10 AM","3:16"
21,"Z1-C1","23-Aheer Pada","M112   UP85AG0885_C","Primary - Auto Tipper","W23R2",832,810,22,97,"27-04-2026","06:54 AM","09:31 AM","2:37"
22,"Z4-C1","09-Gandhi Nagar","M278 UP85ET 7840","Primary - Auto Tipper","W9R1",872,845,27,96,"27-04-2026","08:05 AM","10:26 AM","2:21"
23,"Z3-C1","27-Baad","UP16RT3855","Primary - AUTO TIPPER EV","W27R5",949,919,30,96,"27-04-2026","06:26 AM","10:30 AM","4:04"
24,"Z4-C1","34-Radhaniwas","M265 UP14PT8095","Primary - Auto Tipper","W34R2",926,895,31,96,"27-04-2026","06:34 AM","10:14 AM","3:40"
25,"Z1-C1","64-Ghati Bahalray","M092 UP14PT7727_C","Primary - Auto Tipper","W64R1",298,288,10,96,"27-04-2026","05:57 AM","10:27 AM","4:29"
26,"Z4-C1","34-Radhaniwas","UP85ET 7856","Primary - Auto Tipper","W34R1",965,928,37,96,"27-04-2026","06:30 AM","10:22 AM","3:51"
27,"Z1-C1","26-Naya Nagla","M086   UP85AG0880","Primary - Auto Tipper","W26R1",899,861,38,95,"27-04-2026","07:15 AM","10:28 AM","3:12"
28,"Z1-C1","65-Holi Gali","M054 UP14PT7728","Primary - Auto Tipper","W65R3_C",704,673,31,95,"27-04-2026","06:41 AM","09:26 AM","2:45"
29,"Z4-C1","34-Radhaniwas","DL51GD9441","Primary - AUTO TIPPER 3 WHEELER","W34R3",974,930,44,95,"27-04-2026","06:49 AM","10:24 AM","3:35"
30,"Z1-C1","05-Bharatpur Gate","M080  UP85AG0795_C","Primary - Auto Tipper","W5R1_C",262,250,12,95,"27-04-2026","06:45 AM","10:24 AM","3:38"
31,"Z1-C1","53-Krishna Puri","M055 UP85AG0891_C","Primary - Auto Tipper","W53ER1",498,475,23,95,"27-04-2026","06:05 AM","09:32 AM","3:27"
32,"Z4-C1","21-Chaitanya Bihar","M277 UP85ET 7842","Primary - Auto Tipper","W21R1",652,618,34,94,"27-04-2026","06:37 AM","10:29 AM","3:52"
33,"Z2-C1","47-Dwarkapuri","UP16RT3808","Primary - AUTO TIPPER EV","W47R2",941,890,51,94,"27-04-2026","06:37 AM","10:29 AM","3:52"
34,"Z1-C1","22-Badhri Nagar","DL5TGD9454","Primary - AUTO TIPPER 3 WHEELER","W22R2",905,853,52,94,"27-04-2026","06:54 AM","10:29 AM","3:34"
35,"Z4-C1","66-Keshighat","M264 UP85ET 7867","Primary - Auto Tipper","W66R1",980,921,59,93,"27-04-2026","06:50 AM","09:39 AM","2:48"
36,"Z1-C1","42-Manoharpur","M011 DL51EV0215","Primary - AUTO TIPPER 3 WHEELER","W42R2",921,865,56,93,"27-04-2026","06:46 AM","10:21 AM","3:34"
37,"Z1-C1","18-General ganj","M174 UP85AG0771","Primary - Auto Tipper","W18R2",865,812,53,93,"27-04-2026","06:51 AM","09:49 AM","2:57"
38,"Z2-C1","44-Radhika Bihar","M012 UP14PT7946","Primary - Auto Tipper","W44R1",894,839,55,93,"27-04-2026","06:38 AM","10:28 AM","3:50"
39,"Z4-C1","70-Biharipur","M204 UP85AG0955","Primary - Auto Tipper","W70R1",346,324,22,93,"27-04-2026","07:07 AM","10:17 AM","3:10"
40,"Z1-C1","26-Naya Nagla","UP16RT3806","Primary - AUTO TIPPER EV","W26R2",826,773,53,93,"27-04-2026","07:20 AM","09:28 AM","2:08"
41,"Z4-C1","70-Biharipur","MR016-70144258","Primary - Wheel Barrow","W70WBR1",263,246,17,93,"27-04-2026","07:30 AM","09:33 AM","2:03"
42,"Z4-C1","08-Atas","M266 UP85ET 7864","Primary - Auto Tipper","W8R2",935,869,66,92,"27-04-2026","07:10 AM","10:29 AM","3:19"
43,"Z1-C1","63-Maliyaan Sadar","M191 UP85AG0948","Primary - Auto Tipper","W63R1",915,837,78,91,"27-04-2026","07:20 AM","10:19 AM","2:59"
44,"Z1-C1","04-Ishapur Yamunapar","M253 UP85ET 7854","Primary - Manual Rickshaw","W4MR1",303,277,26,91,"27-04-2026","07:29 AM","09:23 AM","1:54"
45,"Z4-C1","62-Mathura Darwaza","UP85FT2585","Primary - Auto Tipper","W62R1",883,807,76,91,"27-04-2026","06:41 AM","10:10 AM","3:29"
46,"Z1-C1","65-Holi Gali","UP14PT7749","Primary - Auto Tipper","W65R1_C",426,388,38,91,"27-04-2026","06:49 AM","10:24 AM","3:34"
47,"Z4-C1","70-Biharipur","MR026-70147715","Primary - Wheel Barrow","W70MR2",89,81,8,91,"27-04-2026","07:10 AM","09:17 AM","2:06"
48,"Z4-C1","70-Biharipur","MR015-70143748","Primary - Wheel Barrow","W70WBR2",233,211,22,90,"27-04-2026","06:10 AM","10:06 AM","3:55"
49,"Z1-C1","14-Lakshmi Nagar Yamunapar","UP16RT3815","Primary - AUTO TIPPER EV","W14R1",884,798,86,90,"27-04-2026","06:28 AM","10:30 AM","4:01"
50,"Z3-C1","52-Chandrapuri","UP16RT3819","Primary - AUTO TIPPER EV","W52R3",706,634,72,89,"27-04-2026","07:13 AM","10:30 AM","3:17"
51,"Z1-C1","35-Bankhandi","MR018-70143474","Primary - Manual Rickshaw","W35MR1",320,287,33,89,"27-04-2026","06:51 AM","10:27 AM","3:36"
52,"Z3-C1","57-Balajipuram","UP16RT3826","Primary - AUTO TIPPER EV","W57R4",915,809,106,88,"27-04-2026","07:24 AM","10:30 AM","3:05"
53,"Z4-C1","66-Keshighat","MR006-70143904","Primary - Wheel Barrow","W66MR2_N",238,210,28,88,"27-04-2026","07:47 AM","10:27 AM","2:40"
54,"Z2-C1","54-Pratap Nagar","M087  UP85AG0785","Primary - Auto Tipper","W54R1",924,812,112,87,"27-04-2026","07:02 AM","10:28 AM","3:26"
55,"Z4-C1","67-Kemar Van","M114    UP85AGT0957","Primary - Auto Tipper","W67R1",775,681,94,87,"27-04-2026","06:19 AM","10:30 AM","4:10"
56,"Z1-C1","19-Ramnagar Yamunapar","UP16RT3979","Primary - AUTO TIPPER EV","W19ER1_N",601,527,74,87,"27-04-2026","07:15 AM","10:11 AM","2:56"
57,"Z4-C1","08-Atas","M098   UP85AGT0956","Primary - Auto Tipper","W8R1",921,804,117,87,"27-04-2026","07:17 AM","10:29 AM","3:11"
58,"Z3-C1","10-Aurangabad First","MR039-70146022","Primary - Manual Rickshaw","W10MR1",191,165,26,86,"27-04-2026","07:37 AM","09:19 AM","1:42"
59,"Z2-C1","58-Gau Ghat","M183 UP85AG0912(ER)","Primary - AUTO TIPPER 3 WHEELER","W58R2",880,756,124,85,"27-04-2026","06:15 AM","09:51 AM","3:36"
60,"Z1-C1","02-Ambedkar Nagar","UP16RT3978","Primary - AUTO TIPPER EV","W2R1",921,788,133,85,"27-04-2026","07:33 AM","10:29 AM","2:56"
61,"Z4-C1","50-Patharpura","M099 0787","Primary - Auto Tipper","W50R1",625,532,93,85,"27-04-2026","06:27 AM","09:55 AM","3:28"
62,"Z2-C1","20-Krishna Nagar First","M229   UP85AG0792_C","Primary - Auto Tipper","W20R1",903,768,135,85,"27-04-2026","07:20 AM","10:17 AM","2:56"
63,"Z2-C1","39-Mahavidhya Colony","UP16RT3982","Primary - AUTO TIPPER EV","W39R5",853,724,129,84,"27-04-2026","07:55 AM","08:57 AM","1:01"
64,"Z3-C1","41-Dhaulipiau","M088  UP85AG0791_C","Primary - Auto Tipper","W41R3_C",262,219,43,83,"27-04-2026","06:57 AM","10:28 AM","3:30"
65,"Z3-C1","32-Ranchibagar","UP85FT2588","Primary - Auto Tipper","W32R1",962,804,158,83,"27-04-2026","06:54 AM","10:10 AM","3:16"
66,"Z4-C1","69-Ratan Chhatri","M200 UP85AG0968","Primary - Auto Tipper","W69R1",898,747,151,83,"27-04-2026","07:03 AM","08:26 AM","1:23"
67,"Z2-C1","12-Radhe Shyam Colony","M004 UP14PT7951","Primary - Auto Tipper","W12R2",941,773,168,82,"27-04-2026","06:25 AM","10:26 AM","4:01"
68,"Z2-C1","24-Sarai Azamabad","M275 UP85AG7863","Primary - Auto Tipper","W24R1",692,566,126,81,"27-04-2026","06:58 AM","10:19 AM","3:20"
69,"Z4-C1","51-Gaushala Nagar","M260 UP85ET 7859","Primary - Auto Tipper","W51R1",947,771,176,81,"27-04-2026","07:45 AM","09:46 AM","2:01"
70,"Z3-C1","27-Baad","UP16RT3849","Primary - AUTO TIPPER EV","W27R1",948,771,177,81,"27-04-2026","06:31 AM","09:33 AM","3:02"
71,"Z2-C1","37-Baldevpuri","UP85AG0761","Primary - Auto Tipper","W37R1",835,675,160,80,"27-04-2026","07:16 AM","10:27 AM","3:10"
72,"Z2-C1","39-Mahavidhya Colony","M233 UP85ET 7835","Primary - Auto Tipper","W39R4",745,597,148,80,"27-04-2026","07:59 AM","10:05 AM","2:06"
73,"Z1-C1","18-General ganj","M234 UP85ET 7832","Primary - Auto Tipper","W18R1",925,738,187,79,"27-04-2026","06:51 AM","09:40 AM","2:49"
74,"Z1-C1","04-Ishapur Yamunapar","M253 UP85ET 7854","Primary - Manual Rickshaw","W4R3",939,747,192,79,"27-04-2026","07:01 AM","09:36 AM","2:35"
75,"Z3-C1","57-Balajipuram","M102   UP85AG0758","Primary - Auto Tipper","W57R5",915,725,190,79,"27-04-2026","07:08 AM","10:07 AM","2:58"
76,"Z2-C1","24-Sarai Azamabad","MR034-70143664","Primary - Manual Rickshaw","W24MR1",187,148,39,79,"27-04-2026","06:20 AM","10:04 AM","3:44"
77,"Z4-C1","66-Keshighat","MR006-70143904","Primary - Wheel Barrow","W66MR1_N",299,235,64,78,"27-04-2026","07:02 AM","08:49 AM","1:47"
78,"Z1-C1","40-Rajkumar","M207 UP85AG0965","Primary - Auto Tipper","W40R1",825,647,178,78,"27-04-2026","07:47 AM","09:52 AM","2:04"
79,"Z2-C1","30-Krishna Nagar Second","M009 UP14PT7717","Primary - Auto Tipper","W30R1",726,567,159,78,"27-04-2026","07:04 AM","10:30 AM","3:26"
80,"Z2-C1","03-Girdharpur","M126  UP85AG0799","Primary - Auto Tipper","W3R5",933,726,207,77,"27-04-2026","07:25 AM","10:29 AM","3:03"
81,"Z2-C1","45-Birla Mandir","DL51GD9539","Primary - AUTO TIPPER 3 WHEELER","W45R2",528,410,118,77,"27-04-2026","06:39 AM","10:17 AM","3:37"
82,"Z1-C1","04-Ishapur Yamunapar","UP85FT2581","Primary - Auto Tipper","W4R1",944,732,212,77,"27-04-2026","08:11 AM","10:30 AM","2:18"
83,"Z2-C1","12-Radhe Shyam Colony","DL51GD0277","Primary - AUTO TIPPER 3 WHEELER","W12ER1",529,410,119,77,"27-04-2026","07:02 AM","10:26 AM","3:23"
84,"Z2-C1","47-Dwarkapuri","UP85AG0756","Primary - Auto Tipper","W47R3",912,706,206,77,"27-04-2026","06:56 AM","10:16 AM","3:19"
85,"Z1-C1","49-Daimpiriyal Nagar","UP16RT3829","Primary - AUTO TIPPER EV","W49R4",839,647,192,77,"27-04-2026","05:54 AM","08:51 AM","2:56"
86,"Z3-C1","06-Aduki","UP16RT3854","Primary - AUTO TIPPER EV","W6R4",930,713,217,76,"27-04-2026","06:20 AM","09:57 AM","3:37"
87,"Z2-C1","60-Jagannath Puri","UP16RT3853","Primary - AUTO TIPPER EV","W60R1",959,734,225,76,"27-04-2026","07:54 AM","10:00 AM","2:06"
88,"Z1-C1","42-Manoharpur","M027 UP14PT8097","Primary - Auto Tipper","W42R1",923,706,217,76,"27-04-2026","07:58 AM","09:57 AM","1:59"
89,"Z1-C1","63-Maliyaan Sadar","M010 UP14PT8107","Primary - Auto Tipper","W63R2",925,702,223,75,"27-04-2026","08:11 AM","10:20 AM","2:09"
90,"Z2-C1","46-Radha Nagar","UP85FT2577","Primary - Auto Tipper","W46R2",946,716,230,75,"27-04-2026","06:10 AM","07:02 AM","0:51"
91,"Z4-C1","21-Chaitanya Bihar","M269 UP85ET 7841","Primary - Auto Tipper","W21R2",921,697,224,75,"27-04-2026","07:20 AM","10:19 AM","2:59"
92,"Z2-C1","54-Pratap Nagar","DL51EV0265","Primary - AUTO TIPPER 3 WHEELER","W54R3",907,670,237,73,"27-04-2026","07:40 AM","10:28 AM","2:48"
93,"Z2-C1","44-Radhika Bihar","UP16RT3816","Primary - AUTO TIPPER EV","W44R2",953,702,251,73,"27-04-2026","06:56 AM","10:30 AM","3:34"
94,"Z1-C1","02-Ambedkar Nagar","M223 UP85AG0959","Primary - Auto Tipper","W2R2",918,676,242,73,"27-04-2026","08:09 AM","10:19 AM","2:09"
95,"Z3-C1","52-Chandrapuri","UP16RT3811","Primary - AUTO TIPPER EV","W52R2",576,419,157,72,"27-04-2026","06:34 AM","09:42 AM","3:07"
96,"Z4-C1","25-Chharaura","M219 UP85AG0962","Primary - Auto Tipper","W25R1",946,674,272,71,"27-04-2026","07:20 AM","10:18 AM","2:58"
97,"Z1-C1","22-Badhri Nagar","UP16RT3862","Primary - AUTO TIPPER EV","W22R1",948,671,277,70,"27-04-2026","06:52 AM","09:44 AM","2:52"
98,"Z3-C1","28-Aurangabad Second","UP16RT3802","Primary - AUTO TIPPER EV","W28ER1",413,292,121,70,"27-04-2026","06:35 AM","09:32 AM","2:57"
99,"Z2-C1","24-Sarai Azamabad","UP85AG0752","Primary - Auto Tipper","W24R2",948,670,278,70,"27-04-2026","06:53 AM","10:27 AM","3:34"
100,"Z4-C1","13-Sunrakh","M113   UP85AGT0966","Primary - Auto Tipper","W13R2",842,588,254,69,"27-04-2026","06:21 AM","10:11 AM","3:50"
101,"Z2-C1","31-Navneet Nagar","M039 UP14PT7949","Primary - Auto Tipper","W31R3",872,608,264,69,"27-04-2026","07:42 AM","10:23 AM","2:41"
102,"Z1-C1","19-Ramnagar Yamunapar","M259 UP85ET 7852","Primary - Auto Tipper","W19R1",902,628,274,69,"27-04-2026","08:13 AM","09:34 AM","1:21"
103,"Z4-C1","21-Chaitanya Bihar","M263 UP85ET 7862","Primary - Auto Tipper","W21R4",807,561,246,69,"27-04-2026","06:06 AM","10:30 AM","4:23"
104,"Z2-C1","56-Mandi Randas","M081  UP85AG0893_C","Primary - Auto Tipper","W56R2_C",119,82,37,68,"27-04-2026","07:58 AM","10:24 AM","2:25"
105,"Z1-C1","49-Daimpiriyal Nagar","M038 UP14PT7753","Primary - Auto Tipper","W49R3",898,618,280,68,"27-04-2026","06:59 AM","09:32 AM","2:33"
106,"Z2-C1","46-Radha Nagar","UP85FT2577","Primary - Auto Tipper","W46R1",935,639,296,68,"27-04-2026","05:58 AM","10:30 AM","4:32"
107,"Z4-C1","67-Kemar Van","UP85ET7857","Primary - Auto Tipper","W67R2",617,417,200,67,"27-04-2026","07:20 AM","10:29 AM","3:08"
108,"Z3-C1","11-Tarsi","M042 UP85AG0883","Primary - Auto Tipper","W11R1",905,611,294,67,"27-04-2026","07:01 AM","09:43 AM","2:42"
109,"Z2-C1","31-Navneet Nagar","M001 UP14PT7952","Primary - Auto Tipper","W31R2",853,574,279,67,"27-04-2026","07:28 AM","10:29 AM","3:01"
110,"Z3-C1","11-Tarsi","M042 UP85AG0883","Primary - Auto Tipper","W11R2",780,520,260,66,"27-04-2026","07:00 AM","09:44 AM","2:43"
111,"Z3-C1","57-Balajipuram","UP16RT3851","Primary - AUTO TIPPER EV","W57R2",911,606,305,66,"27-04-2026","06:29 AM","10:27 AM","3:58"
112,"Z4-C1","51-Gaushala Nagar","M244 UP85AG0789_C","Primary - Auto Tipper","W51ER1",471,312,159,66,"27-04-2026","06:12 AM","09:46 AM","3:33"
113,"Z1-C1","49-Daimpiriyal Nagar","M051 UP85AG0892","Primary - Auto Tipper","W49R1",796,526,270,66,"27-04-2026","07:01 AM","09:54 AM","2:53"
114,"Z4-C1","25-Chharaura","UP85AG0964","Primary - Auto Tipper","W25R2",863,569,294,65,"27-04-2026","06:35 AM","10:21 AM","3:46"
115,"Z3-C1","06-Aduki","UP16RT3831","Primary - AUTO TIPPER EV","W6R3",849,556,293,65,"27-04-2026","06:40 AM","10:28 AM","3:47"
116,"Z3-C1","06-Aduki","UP16RT3980","Primary - AUTO TIPPER EV","W6R2",855,557,298,65,"27-04-2026","08:07 AM","10:30 AM","2:23"
117,"Z2-C1","16-Bakalpur","UP85FT2579","Primary - Auto Tipper","W16R3",959,623,336,64,"27-04-2026","06:46 AM","10:01 AM","3:15"
118,"Z3-C1","38-Civil Lines","M065 UP85AG0888","Primary - Auto Tipper","W38R1",924,593,331,64,"27-04-2026","07:06 AM","10:08 AM","3:02"
119,"Z4-C1","67-Kemar Van","M222 UP85AG0952","Primary - Auto Tipper","W67R3",460,295,165,64,"27-04-2026","09:12 AM","10:03 AM","0:50"
120,"Z1-C1","35-Bankhandi","UP16RT3804","Primary - AUTO TIPPER EV","W35R2",952,610,342,64,"27-04-2026","06:29 AM","10:27 AM","3:58"
