"S.No","Zone & Circle","Ward Name","Vehicle Number","Vehicle Type","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time","Route Time"
121,"Z2-C1","54-Pratap Nagar","M231 UP85ET 7837","Primary - Auto Tipper","W54R2",512,312,200,60,"27-04-2026","07:50 AM","10:16 AM","2:25"
122,"Z3-C1","28-Aurangabad Second","UP16RT3802","Primary - AUTO TIPPER EV","W28R2",919,550,369,59,"27-04-2026","06:35 AM","10:30 AM","3:55"
123,"Z3-C1","27-Baad","UP16RT3825","Primary - AUTO TIPPER EV","W27R3",898,537,361,59,"27-04-2026","06:24 AM","10:30 AM","4:05"
124,"Z2-C1","24-Sarai Azamabad","M135   UP85AG0674","Primary - Auto Tipper","W24R4_C",141,83,58,58,"27-04-2026","07:19 AM","10:28 AM","3:09"
125,"Z2-C1","56-Mandi Randas","M137 UP85AG0954","Primary - Auto Tipper","W56R1_C",175,99,76,56,"27-04-2026","07:58 AM","08:03 AM","0:04"
126,"Z1-C1","07-Lohvan","UP16RT3979","Primary - AUTO TIPPER EV","W7R3",957,539,418,56,"27-04-2026","07:08 AM","10:25 AM","3:16"
127,"Z2-C1","17-Bairaagpura","M036 UP14PT8105_C","Primary - Auto Tipper","W17R1",955,535,420,56,"27-04-2026","07:20 AM","09:16 AM","1:56"
128,"Z3-C1","41-Dhaulipiau","M020 UP14PT7998","Primary - Auto Tipper","W41R1",921,514,407,55,"27-04-2026","07:51 AM","09:42 AM","1:50"
129,"Z2-C1","31-Navneet Nagar","M237 UP85ET 7866","Primary - Auto Tipper","W31R1",838,465,373,55,"27-04-2026","07:39 AM","09:44 AM","2:04"
130,"Z2-C1","39-Mahavidhya Colony","UP16RT3982","Primary - AUTO TIPPER EV","W39R3",938,520,418,55,"27-04-2026","06:55 AM","10:12 AM","3:16"
131,"Z2-C1","16-Bakalpur","M273 UP85ET 7846","Primary - Auto Tipper","W16R6",856,465,391,54,"27-04-2026","06:21 AM","07:53 AM","1:32"
132,"Z2-C1","03-Girdharpur","UP16RT3828","Primary - AUTO TIPPER EV","W3R2",979,505,474,51,"27-04-2026","08:42 AM","10:30 AM","1:47"
133,"Z3-C1","41-Dhaulipiau","UP16RT3803","Primary - AUTO TIPPER EV","W41R2",920,468,452,50,"27-04-2026","07:13 AM","10:30 AM","3:17"
134,"Z2-C1","20-Krishna Nagar First","UP16RT3830","Primary - AUTO TIPPER EV","W20R2",945,478,467,50,"27-04-2026","07:54 AM","10:12 AM","2:17"
135,"Z3-C1","01-Birjapur","M108    UP85AG0796","Primary - Auto Tipper","W1R3",803,391,412,48,"27-04-2026","08:09 AM","10:09 AM","1:59"
136,"Z3-C1","38-Civil Lines","UP16RT3984","Primary - AUTO TIPPER EV","W38R3",324,156,168,48,"27-04-2026","06:59 AM","10:27 AM","3:28"
137,"Z3-C1","06-Aduki","UP16RT3854","Primary - AUTO TIPPER EV","W6R5",749,356,393,47,"27-04-2026","07:26 AM","10:30 AM","3:04"
138,"Z3-C1","57-Balajipuram","M201 UP85AG0755","Primary - Auto Tipper","W57R3",890,422,468,47,"27-04-2026","07:49 AM","10:18 AM","2:28"
139,"Z1-C1","07-Lohvan","UP16RT3985","Primary - AUTO TIPPER EV","W7R2",920,431,489,46,"27-04-2026","06:30 AM","07:26 AM","0:55"
140,"Z1-C1","07-Lohvan","UP16RT3850","Primary - AUTO TIPPER EV","W7R5",909,425,484,46,"27-04-2026","07:38 AM","10:22 AM","2:44"
141,"Z2-C1","45-Birla Mandir","UP16RT3818","Primary - AUTO TIPPER EV","W45R3",929,416,513,44,"27-04-2026","07:27 AM","09:57 AM","2:29"
142,"Z1-C1","68-Shanti Nagar","M178 UP85AG0760","Primary - Auto Tipper","W68R1",827,366,461,44,"27-04-2026","07:48 AM","09:22 AM","1:33"
143,"Z2-C1","48-Satoha Asangpur","M258 UP85ET 7843","Primary - Auto Tipper","W48R1",973,425,548,43,"27-04-2026","08:44 AM","10:25 AM","1:41"
144,"Z1-C1","61-Chaubia Para","MR019-70148606","Primary - Wheel Barrow","W61WBR3",314,130,184,41,"27-04-2026","07:13 AM","07:29 AM","0:16"
145,"Z3-C1","33-Palikhera","M091 UP85AG0778","Primary - Auto Tipper","W33R1",916,372,544,40,"27-04-2026","07:23 AM","10:21 AM","2:58"
146,"Z4-C1","25-Chharaura","UP85AG0964","Primary - Auto Tipper","W25ER1_N",491,195,296,39,"27-04-2026","10:22 AM","10:29 AM","0:06"
147,"Z3-C1","10-Aurangabad First","UP16RT3863","Primary - AUTO TIPPER EV","W10R3",895,354,541,39,"27-04-2026","07:16 AM","08:43 AM","1:27"
148,"Z1-C1","49-Daimpiriyal Nagar","UP14PT7751","Primary - Auto Tipper","W49R2",769,304,465,39,"27-04-2026","07:37 AM","09:02 AM","1:24"
149,"Z2-C1","36-Jaisingh Pura","M142 UP85ET 7844","Primary - Auto Tipper","W36R3",482,182,300,37,"27-04-2026","07:33 AM","10:18 AM","2:45"
150,"Z2-C1","37-Baldevpuri","UP16RT3801","Primary - AUTO TIPPER EV","W37ER1",402,148,254,36,"27-04-2026","NA","NA","NA"
151,"Z2-C1","44-Radhika Bihar","DL51EV0209","Primary - AUTO TIPPER 3 WHEELER","W44R3",892,295,597,33,"27-04-2026","07:24 AM","10:04 AM","2:40"
152,"Z2-C1","16-Bakalpur","M255 UP85ET 7849","Primary - Auto Tipper","W16R4",919,289,630,31,"27-04-2026","07:29 AM","08:37 AM","1:07"
153,"Z3-C1","33-Palikhera","M091 UP85AG0778","Primary - Auto Tipper","W33R2",844,251,593,29,"27-04-2026","06:50 AM","09:33 AM","2:42"
154,"Z3-C1","06-Aduki","UP16RT3810","Primary - AUTO TIPPER EV","W6R1",855,254,601,29,"27-04-2026","07:09 AM","09:49 AM","2:40"
155,"Z3-C1","57-Balajipuram","M102   UP85AG0758","Primary - Auto Tipper","W57R1",942,263,679,27,"27-04-2026","07:05 AM","10:28 AM","3:22"
156,"Z2-C1","03-Girdharpur","UP16RT3828","Primary - AUTO TIPPER EV","W3R3",978,241,737,24,"27-04-2026","09:13 AM","09:57 AM","0:43"
157,"Z1-C1","68-Shanti Nagar","UP16RT3801","Primary - AUTO TIPPER EV","W68R2",901,218,683,24,"27-04-2026","06:40 AM","10:17 AM","3:36"
158,"Z2-C1","43-Ganeshra","M078   UP85AG0757","Primary - Auto Tipper","W43R3",900,209,691,23,"27-04-2026","10:00 AM","10:30 AM","0:30"
159,"Z2-C1","16-Bakalpur","M273 UP85ET 7846","Primary - Auto Tipper","W16R5",836,185,651,22,"27-04-2026","06:19 AM","09:25 AM","3:05"
160,"Z3-C1","27-Baad","UP16RT3857","Primary - AUTO TIPPER EV","W27R2",869,190,679,21,"27-04-2026","07:44 AM","10:11 AM","2:27"
161,"Z1-C1","04-Ishapur Yamunapar","UP85FT2581","Primary - Auto Tipper","W4R2",864,188,676,21,"27-04-2026","07:24 AM","10:15 AM","2:51"
162,"Z4-C1","51-Gaushala Nagar","RJ06GD6723","Primary - Auto Tipper","W51R2",903,183,720,20,"27-04-2026","10:28 AM","10:29 AM","0:01"
163,"Z3-C1","27-Baad","UP16RT3817","Primary - AUTO TIPPER EV","W27R4",828,161,667,19,"27-04-2026","07:30 AM","10:30 AM","3:00"
164,"Z2-C1","03-Girdharpur","M091 UP85AG0778","Primary - Auto Tipper","W3R4",969,185,784,19,"27-04-2026","07:31 AM","10:28 AM","2:57"
165,"Z3-C1","29-Koyla Alipur","UP16RT3827","Primary - AUTO TIPPER EV","W29R1",282,49,233,17,"27-04-2026","07:08 AM","07:52 AM","0:43"
166,"Z2-C1","43-Ganeshra","M275 UP85AG7863","Primary - Auto Tipper","W43R5",900,137,763,15,"27-04-2026","06:57 AM","08:14 AM","1:16"
167,"Z3-C1","32-Ranchibagar","UP16RT3981","Primary - AUTO TIPPER EV","W32R3",808,122,686,15,"27-04-2026","06:33 AM","10:29 AM","3:55"
168,"Z3-C1","32-Ranchibagar","UP16RT3854","Primary - AUTO TIPPER EV","W32R4",356,53,303,14,"27-04-2026","06:19 AM","09:33 AM","3:14"
169,"Z4-C1","13-Sunrakh","M113   UP85AGT0966","Primary - Auto Tipper","W13R1",890,129,761,14,"27-04-2026","06:18 AM","10:18 AM","3:59"
170,"Z4-C1","69-Ratan Chhatri","UP85FT2584","Primary - Auto Tipper","W69R2",900,130,770,14,"27-04-2026","07:41 AM","07:46 AM","0:05"
171,"Z3-C1","59-Maholi Second","UP16RT3807","Primary - AUTO TIPPER EV","W59R2",900,115,785,12,"27-04-2026","06:22 AM","09:09 AM","2:47"
172,"Z2-C1","43-Ganeshra","UP16RT3834","Primary - AUTO TIPPER EV","W43R4",917,109,808,11,"27-04-2026","07:46 AM","10:16 AM","2:29"
173,"Z1-C1","02-Ambedkar Nagar","MR029-70145446","Primary - Manual Rickshaw","W2T1",279,33,246,11,"27-04-2026","09:22 AM","09:40 AM","0:18"
174,"Z1-C1","19-Ramnagar Yamunapar","M115 UP85AG0887_C","Primary - Auto Tipper","W19R3",908,106,802,11,"27-04-2026","NA","NA","NA"
175,"Z1-C1","07-Lohvan","UP16RT3985","Primary - AUTO TIPPER EV","W7R1",922,68,854,7,"27-04-2026","NA","NA","NA"
176,"Z2-C1","16-Bakalpur","M255 UP85ET 7849","Primary - Auto Tipper","W16R2",958,47,911,4,"27-04-2026","07:43 AM","07:46 AM","0:03"
177,"Z2-C1","39-Mahavidhya Colony","UP16RT3820","Primary - AUTO TIPPER EV","W39R1",898,38,860,4,"27-04-2026","10:18 AM","10:21 AM","0:02"
178,"Z3-C1","15-Maholi First","UP16RT3813","Primary - AUTO TIPPER EV","W15R5",694,27,667,3,"27-04-2026","07:45 AM","07:49 AM","0:04"
179,"Z1-C1","07-Lohvan","UP16RT3850","Primary - AUTO TIPPER EV","W7R4",859,28,831,3,"27-04-2026","NA","NA","NA"
180,"Z2-C1","48-Satoha Asangpur","M257 UP85ET 7845","Primary - Auto Tipper","W48R2",800,20,780,2,"27-04-2026","08:56 AM","09:02 AM","0:06"
181,"Z1-C1","65-Holi Gali","M117   UP85AG0765_C","Primary - Auto Tipper","W65R4_C",565,7,558,1,"27-04-2026","NA","NA","NA"
182,"Z2-C1","43-Ganeshra","UP85FT2579","Primary - Auto Tipper","W43R1_C",1250,0,1250,0,"27-04-2026","NA","NA","NA"
183,"Z3-C1","10-Aurangabad First","UP16RT3863","Primary - AUTO TIPPER EV","W10R2",969,0,969,0,"27-04-2026","NA","NA","NA"
184,"Z3-C1","15-Maholi First","UP14PT7948","Primary - Auto Tipper","W15R2",968,0,968,0,"27-04-2026","NA","NA","NA"
185,"Z3-C1","10-Aurangabad First","UP16RT3814","Primary - AUTO TIPPER EV","W10R1",960,0,960,0,"27-04-2026","NA","NA","NA"
186,"Z2-C1","16-Bakalpur","M243 UP85ET 7836","Primary - Auto Tipper","W16R1",959,0,959,0,"27-04-2026","NA","NA","NA"
187,"Z3-C1","32-Ranchibagar","M129   UP85AG0780","Primary - Auto Tipper","W32R2",955,0,955,0,"27-04-2026","NA","NA","NA"
188,"Z1-C1","19-Ramnagar Yamunapar","M175 DL51GD9465","Primary - AUTO TIPPER 3 WHEELER","W19R2",953,0,953,0,"27-04-2026","NA","NA","NA"
189,"Z3-C1","15-Maholi First","M079   UP85AG0754","Primary - Auto Tipper","W15R4",949,0,949,0,"27-04-2026","NA","NA","NA"
190,"Z3-C1","15-Maholi First","M079   UP85AG0754","Primary - Auto Tipper","W15R3",948,0,948,0,"27-04-2026","NA","NA","NA"
191,"Z2-C1","12-Radhe Shyam Colony","M094   UP85AG0759","Primary - Auto Tipper","W12R1",945,0,945,0,"27-04-2026","NA","NA","NA"
192,"Z2-C1","36-Jaisingh Pura","M019 UP14PT7945","Primary - Auto Tipper","W36R2",941,0,941,0,"27-04-2026","NA","NA","NA"
193,"Z2-C1","39-Mahavidhya Colony","UP16RT3820","Primary - AUTO TIPPER EV","W39R2",939,0,939,0,"27-04-2026","NA","NA","NA"
194,"Z4-C1","69-Ratan Chhatri","RJ06GD6723","Primary - Auto Tipper","W69R3",939,0,939,0,"27-04-2026","NA","NA","NA"
195,"Z3-C1","15-Maholi First","UP14PT7948","Primary - Auto Tipper","W15R1",937,0,937,0,"27-04-2026","NA","NA","NA"
196,"Z2-C1","36-Jaisingh Pura","M238 UP85ET 7831","Primary - Auto Tipper","W36R1",935,0,935,0,"27-04-2026","NA","NA","NA"
197,"Z3-C1","28-Aurangabad Second","UP16RT3833","Primary - AUTO TIPPER EV","W28R1",935,0,935,0,"27-04-2026","NA","NA","NA"
198,"Z3-C1","33-Palikhera","UP14PT7948","Primary - Auto Tipper","W33R5",935,0,935,0,"27-04-2026","NA","NA","NA"
199,"Z2-C1","24-Sarai Azamabad","M096   UP85AG0894","Primary - Auto Tipper","W24R3",925,0,925,0,"27-04-2026","NA","NA","NA"
200,"Z2-C1","60-Jagannath Puri","UP16RT3821","Primary - AUTO TIPPER EV","W60R3",910,0,910,0,"27-04-2026","NA","NA","NA"
201,"Z2-C1","58-Gau Ghat","M111  UP85AG0882","Primary - Auto Tipper","W58R1",903,0,903,0,"27-04-2026","NA","NA","NA"
202,"Z3-C1","52-Chandrapuri","M181 UP85AG0763","Primary - Auto Tipper","W52R1",900,0,900,0,"27-04-2026","NA","NA","NA"
203,"Z2-C1","60-Jagannath Puri","UP16RT3821","Primary - AUTO TIPPER EV","W60R2",899,0,899,0,"27-04-2026","NA","NA","NA"
204,"Z2-C1","43-Ganeshra","UP16RT3805","Primary - AUTO TIPPER EV","W43R2",874,0,874,0,"27-04-2026","07:30 AM","07:30 AM","0:00"
205,"Z3-C1","33-Palikhera","UP16RT3813","Primary - AUTO TIPPER EV","W33R4",869,0,869,0,"27-04-2026","NA","NA","NA"
206,"Z3-C1","33-Palikhera","M076  UP85AG0779","Primary - Auto Tipper","W33R3",859,0,859,0,"27-04-2026","NA","NA","NA"
207,"Z2-C1","37-Baldevpuri","UP16RT3801","Primary - AUTO TIPPER EV","W37R2",850,0,850,0,"27-04-2026","NA","NA","NA"
208,"Z3-C1","01-Birjapur","M058 UP85AG0950","Primary - Auto Tipper","W1R1",844,0,844,0,"27-04-2026","NA","NA","NA"
209,"Z3-C1","01-Birjapur","M058 UP85AG0950","Primary - Auto Tipper","W1R2",838,0,838,0,"27-04-2026","NA","NA","NA"
210,"Z3-C1","06-Aduki","UP16RT3831","Primary - AUTO TIPPER EV","W6R6",802,0,802,0,"27-04-2026","NA","NA","NA"
211,"Z3-C1","01-Birjapur","UP14PT7752","Primary - Auto Tipper","W1R4",793,0,793,0,"27-04-2026","NA","NA","NA"
212,"Z2-C1","03-Girdharpur","M257 UP85ET 7845","Primary - Auto Tipper","W3R1",789,0,789,0,"27-04-2026","08:55 AM","08:55 AM","0:00"
213,"Z2-C1","45-Birla Mandir","UP85AG0949","Primary - Auto Tipper","W45R1",759,0,759,0,"27-04-2026","NA","NA","NA"
214,"Z2-C1","24-Sarai Azamabad","UP85AG0685","Primary - Auto Tipper","W24R5",739,0,739,0,"27-04-2026","NA","NA","NA"
215,"Z4-C1","13-Sunrakh","M008 UP14PT7996","Primary - Auto Tipper","W13R3_N",720,0,720,0,"27-04-2026","NA","NA","NA"
216,"Z1-C1","64-Ghati Bahalray","DL51GD9464","Primary - AUTO TIPPER 3 WHEELER","W64ER1",685,0,685,0,"27-04-2026","NA","NA","NA"
217,"Z1-C1","35-Bankhandi","UP14PT7751","Primary - Auto Tipper","W35R1",627,0,627,0,"27-04-2026","NA","NA","NA"
218,"Z2-C1","55-Govind Nagar","UP16RT3858","Primary - AUTO TIPPER EV","W55R1",584,0,584,0,"27-04-2026","NA","NA","NA"
219,"Z1-C1","61-Chaubia Para","M256 UP85ET 7861","Primary - Auto Tipper","W61R1_C",565,0,565,0,"27-04-2026","NA","NA","NA"
220,"Z1-C1","14-Lakshmi Nagar Yamunapar","M124 DL51EV0233","Primary - AUTO TIPPER 3 WHEELER","W14ER1",553,0,553,0,"27-04-2026","NA","NA","NA"
221,"Z4-C1","50-Patharpura","DL51GD9579","Primary - AUTO TIPPER 3 WHEELER","W50ER1",526,0,526,0,"27-04-2026","NA","NA","NA"
222,"Z2-C1","20-Krishna Nagar First","M128 DL51GD9569","Primary - Auto Tipper","W20ER1",511,0,511,0,"27-04-2026","NA","NA","NA"
223,"Z1-C1","02-Ambedkar Nagar","RJ06GD1038","Primary - Auto Tipper","W2R3_C",460,0,460,0,"27-04-2026","NA","NA","NA"
224,"Z4-C1","13-Sunrakh","M008 UP14PT7996","Primary - Auto Tipper","W13ER1_N",427,0,427,0,"27-04-2026","NA","NA","NA"
225,"Z1-C1","65-Holi Gali","M256 UP85ET 7861","Primary - Auto Tipper","W65R2_C",424,0,424,0,"27-04-2026","NA","NA","NA"
226,"Z4-C1","67-Kemar Van","M196 DL51GD9113_C","Primary - AUTO TIPPER 3 WHEELER","W67ER1",383,0,383,0,"27-04-2026","NA","NA","NA"
227,"Z1-C1","07-Lohvan","MR041-70147558","Primary - Manual Rickshaw","W7MR1",344,0,344,0,"27-04-2026","NA","NA","NA"
228,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR3",322,0,322,0,"27-04-2026","NA","NA","NA"
229,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR2",321,0,321,0,"27-04-2026","NA","NA","NA"
230,"Z1-C1","61-Chaubia Para","MR047-70145297","Primary - Wheel Barrow","W61WBR1",320,0,320,0,"27-04-2026","NA","NA","NA"
231,"Z1-C1","61-Chaubia Para","MR022-70148549","Primary - Wheel Barrow","W61WBR2",315,0,315,0,"27-04-2026","NA","NA","NA"
232,"Z1-C1","61-Chaubia Para","MR022-70148549","Primary - Wheel Barrow","W61WBR4",314,0,314,0,"27-04-2026","NA","NA","NA"
233,"Z4-C1","21-Chaitanya Bihar","M022 UP14PT7993_C","Primary - Auto Tipper","W21R5",299,0,299,0,"27-04-2026","NA","NA","NA"
234,"Z1-C1","02-Ambedkar Nagar","MR050-70147392","Primary - Manual Rickshaw","W2T3",274,0,274,0,"27-04-2026","NA","NA","NA"
235,"Z3-C1","38-Civil Lines","M013 UP14PT7750","Primary - Auto Tipper","W38R2",257,0,257,0,"27-04-2026","NA","NA","NA"
236,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR1",257,0,257,0,"27-04-2026","NA","NA","NA"
237,"Z1-C1","02-Ambedkar Nagar","MR050-70147392","Primary - Manual Rickshaw","W2T4",255,0,255,0,"27-04-2026","NA","NA","NA"
238,"Z3-C1","52-Chandrapuri","MR002-70146006","Primary - Wheel Barrow","W52MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
239,"Z1-C1","07-Lohvan","MR041-70147558","Primary - Manual Rickshaw","W7MR2",250,0,250,0,"27-04-2026","NA","NA","NA"
240,"Z1-C1","14-Lakshmi Nagar Yamunapar","MR007-70147996","Primary - Manual Rickshaw","W14MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
241,"Z2-C1","45-Birla Mandir","MR009-70145685","Primary - Wheel Barrow","W45MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
242,"Z1-C1","05-Bharatpur Gate","MR030-70143656","Primary - Manual Rickshaw","W5MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
243,"Z3-C1","41-Dhaulipiau","MR027-70143441","Primary - Manual Rickshaw","W41MR1",247,0,247,0,"27-04-2026","NA","NA","NA"
244,"Z4-C1","21-Chaitanya Bihar","UP85AG0804","Primary - Auto Tipper","W21R6_C",238,0,238,0,"27-04-2026","NA","NA","NA"
245,"Z4-C1","09-Gandhi Nagar","MR008-70148556","Primary - Manual Rickshaw","W9MR1",236,0,236,0,"27-04-2026","NA","NA","NA"
246,"Z2-C1","56-Mandi Randas","MR035-70148598","Primary - Wheel Barrow","W56WBR1",190,0,190,0,"27-04-2026","NA","NA","NA"
247,"Z1-C1","05-Bharatpur Gate","UP16RT3856","Primary - AUTO TIPPER EV","W5R2_C",184,0,184,0,"27-04-2026","NA","NA","NA"
248,"Z2-C1","56-Mandi Randas","M016 UP14PT7747","Primary - Auto Tipper","W56R3_C",46,0,46,0,"27-04-2026","NA","NA","NA"
249,"Z2-C1","56-Mandi Randas","MR032-70145651","Primary - Wheel Barrow","W56WBR3",35,0,35,0,"27-04-2026","NA","NA","NA"
250,"Z2-C1","45-Birla Mandir","MR040-70148093","Primary - Manual Rickshaw","W45MR2",29,0,29,0,"27-04-2026","NA","NA","NA"